customer_id,signup_date,segment,age_band,home_country
C001,2023-01-11,standard,35-44,DE
C002,2023-01-21,growth,55-64,GB
C003,2023-01-31,premium,25-34,DE
C004,2023-02-10,vip,45-54,GB
C005,2023-02-20,standard,18-24,DE
C006,2023-03-02,growth,35-44,GB
C007,2023-03-12,premium,55-64,DE
C008,2023-03-22,vip,25-34,GB
C009,2023-04-01,standard,45-54,DE
C010,2023-04-11,growth,18-24,GB
C011,2023-04-21,premium,35-44,DE
C012,2023-05-01,vip,55-64,GB
C013,2023-05-11,standard,25-34,DE
C014,2023-05-21,growth,45-54,GB
C015,2023-05-31,premium,18-24,DE
C016,2023-06-10,vip,35-44,GB
C017,2023-06-20,standard,55-64,DE
C018,2023-06-30,growth,25-34,GB
C019,2023-07-10,premium,45-54,DE
C020,2023-07-20,vip,18-24,GB
C021,2023-07-30,standard,35-44,DE
C022,2023-08-09,growth,55-64,GB
C023,2023-08-19,premium,25-34,DE
C024,2023-08-29,vip,45-54,GB
C025,2023-09-08,standard,18-24,DE
C026,2023-09-18,growth,35-44,GB
C027,2023-09-28,premium,55-64,DE
C028,2023-10-08,vip,25-34,GB
C029,2023-10-18,standard,45-54,DE
C030,2023-10-28,growth,18-24,GB
C031,2023-11-07,premium,35-44,DE
C032,2023-11-17,vip,55-64,GB
C033,2023-11-27,standard,25-34,DE
C034,2023-12-07,growth,45-54,GB
C035,2023-12-17,premium,18-24,DE
C036,2023-12-27,vip,35-44,GB
