payment_id,customer_id,merchant_id,payment_timestamp,amount,currency,channel,device_type,is_international,days_since_last_payment,is_chargeback,signup_date,segment,age_band,home_country,profile,risk
P201,C011,M009,2024-04-16 12:00:00,162.0,GBP,social,tablet,1,2.0,1,2023-06-12,vip,35-44,AE,"{'category': 'marketplace', 'tier': 'high'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 6}"
P202,C012,M007,2024-04-17 12:00:00,,GBP,partner,tablet,1,1.0,1,2023-06-30,vip,25-34,NG,"{'category': 'crypto', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 9}"
P203,C004,M004,2024-04-18 12:00:00,221.0,GBP,call_center,mobile,1,1.0,1,2023-02-20,growth,18-24,FR,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P204,C003,M002,2024-04-19 12:00:00,101.0,GBP,,mobile,0,3.0,0,2023-02-04,growth,25-34,US,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P205,C011,M003,2024-04-20 12:00:00,195.0,GBP,social,mobile,1,,1,2023-06-12,vip,35-44,AE,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P206,C012,M005,2024-04-21 12:00:00,47.0,GBP,app,,0,9.0,1,2023-06-30,vip,25-34,NG,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P207,C007,M009,2024-04-22 12:00:00,165.0,GBP,partner,mobile,1,2.0,1,2023-04-01,standard,45-54,ES,"{'category': 'marketplace', 'tier': 'high'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 6}"
P208,C008,M001,2024-04-23 12:00:00,57.0,GBP,web,desktop,0,11.0,0,2023-04-22,growth,25-34,IT,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P209,C011,M004,2024-04-24 12:00:00,,GBP,call_center,tablet,1,1.0,1,2023-06-12,vip,35-44,AE,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P210,C012,M002,2024-04-25 12:00:00,110.0,GBP,social,,0,2.0,1,2023-06-30,vip,25-34,NG,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P211,C005,M006,2024-04-26 12:00:00,86.0,GBP,,mobile,0,6.0,0,2023-03-02,premium,35-44,DE,"{'category': 'fashion', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 3}"
P212,C006,M007,2024-04-27 12:00:00,238.0,GBP,partner,mobile,1,1.0,1,2023-03-18,premium,45-54,GB,"{'category': 'crypto', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 9}"
P213,C011,M009,2024-04-28 12:00:00,170.0,GBP,social,,1,3.0,1,2023-06-12,vip,35-44,AE,"{'category': 'marketplace', 'tier': 'high'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 6}"
P214,C012,M003,2024-04-29 12:00:00,188.0,GBP,partner,tablet,1,,0,2023-06-30,vip,25-34,NG,"{'category': 'gaming', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 8}"
P215,C009,M005,2024-04-30 12:00:00,45.0,GBP,web,desktop,0,14.0,0,2023-05-10,standard,18-24,GB,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
P216,C010,M004,2024-05-01 12:00:00,211.0,GBP,call_center,mobile,1,1.0,1,2023-05-28,premium,55-64,US,"{'category': 'travel', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 7}"
P217,C011,M002,2024-05-02 12:00:00,,GBP,social,mobile,0,2.0,1,2023-06-12,vip,35-44,AE,"{'category': 'electronics', 'tier': 'mid'}","{'risk_band': 'medium', 'avg_settlement_delay_days': 4}"
P218,C012,M001,2024-05-03 12:00:00,60.0,GBP,app,tablet,0,8.0,0,2023-06-30,vip,25-34,NG,"{'category': 'retail', 'tier': 'mid'}","{'risk_band': 'low', 'avg_settlement_delay_days': 2}"
P219,C004,M007,2024-05-04 12:00:00,248.0,GBP,,mobile,1,1.0,1,2023-02-20,growth,18-24,FR,"{'category': 'crypto', 'tier': 'high'}","{'risk_band': 'high', 'avg_settlement_delay_days': 9}"
P220,C003,M005,2024-05-05 12:00:00,42.0,GBP,web,desktop,0,13.0,0,2023-02-04,growth,25-34,US,"{'category': 'groceries', 'tier': 'low'}","{'risk_band': 'low', 'avg_settlement_delay_days': 1}"
