payment_id,customer_id,merchant_id,payment_timestamp,amount,currency,channel,device_type,is_international,days_since_last_payment,is_chargeback
P7001,C026,M009,2025-01-01 12:00:00,146.88,GBP,partner,mobile,0,,1
P7002,C031,M004,2025-01-02 12:00:00,161.82,GBP,app,mobile,1,5.0,0
P7003,C005,M004,2025-01-03 12:00:00,197.99,GBP,social,mobile,1,,1
P7004,C006,M003,2025-01-04 12:00:00,231.56,GBP,partner,mobile,1,2.0,1
P7005,C014,M005,2025-01-05 12:00:00,161.52,GBP,app,mobile,1,,1
P7006,C022,M005,2025-01-06 12:00:00,93.96,GBP,partner,tablet,0,6.0,0
P7007,C010,M004,2025-01-07 12:00:00,92.9,GBP,app,mobile,0,4.0,1
P7008,C029,M002,2025-01-08 12:00:00,84.02,GBP,web,tablet,0,6.0,0
P7009,C027,M002,2025-01-09 12:00:00,131.45,GBP,web,tablet,0,4.0,0
P7010,C003,M005,2025-01-10 12:00:00,57.34,GBP,social,mobile,0,9.0,0
P7011,C008,M005,2025-01-11 12:00:00,84.58,GBP,app,mobile,0,5.0,0
P7012,C013,M002,2025-01-12 12:00:00,159.85,GBP,call_center,mobile,1,4.0,0
P7013,C013,M002,2025-01-13 12:00:00,125.5,GBP,,mobile,1,3.0,0
P7014,C030,M007,2025-01-14 12:00:00,175.36,GBP,web,mobile,0,5.0,1
P7015,C024,M002,2025-01-15 12:00:00,76.44,GBP,web,,0,7.0,0
P7016,C014,M002,2025-01-16 12:00:00,109.49,GBP,partner,tablet,0,4.0,1
P7017,C017,M006,2025-01-17 12:00:00,122.01,GBP,social,desktop,1,0.0,1
P7018,C029,M001,2025-01-18 12:00:00,82.41,GBP,partner,mobile,0,2.0,1
P7019,C010,M005,2025-01-19 12:00:00,107.46,GBP,social,mobile,0,8.0,0
P7020,C032,M002,2025-01-20 12:00:00,151.45,GBP,partner,mobile,1,5.0,1
P7021,C003,M008,2025-01-21 12:00:00,103.87,GBP,web,mobile,0,6.0,0
P7022,C016,M005,2025-01-22 12:00:00,111.18,GBP,social,mobile,0,2.0,1
P7023,C021,M003,2025-01-23 12:00:00,159.05,GBP,web,desktop,1,3.0,0
P7024,C031,M001,2025-01-24 12:00:00,109.46,GBP,social,,1,4.0,0
P7025,C001,M009,2025-01-25 12:00:00,191.48,GBP,,mobile,1,3.0,0
P7026,C020,M001,2025-01-26 12:00:00,81.9,GBP,web,mobile,0,5.0,0
P7027,C007,M008,2025-01-27 12:00:00,118.18,GBP,app,mobile,0,,0
P7028,C032,M009,2025-01-28 12:00:00,137.55,GBP,social,mobile,0,5.0,0
P7029,C009,M007,2025-01-29 12:00:00,169.4,GBP,call_center,mobile,0,6.0,1
P7030,C009,M003,2025-01-30 12:00:00,94.5,GBP,social,tablet,0,1.0,1
P7031,C035,M006,2025-01-31 12:00:00,83.82,GBP,web,mobile,0,6.0,1
P7032,C024,M001,2025-02-01 12:00:00,78.57,GBP,partner,tablet,0,7.0,0
P7033,C014,M007,2025-02-02 12:00:00,181.08,GBP,call_center,mobile,0,,1
P7034,C014,M003,2025-02-03 12:00:00,140.69,GBP,app,,0,3.0,1
P7035,C023,M002,2025-02-04 12:00:00,109.73,GBP,app,tablet,0,3.0,1
P7036,C023,M007,2025-02-05 12:00:00,,GBP,web,desktop,0,3.0,0
