payment_id,customer_id,merchant_id,payment_timestamp,amount,currency,channel,device_type,is_international,days_since_last_payment,is_chargeback
P001,C016,M006,2024-01-01 09:00:00,114.63,GBP,call_center,mobile,1,2.0,1
P002,C031,M004,2024-01-02 09:00:00,160.87,GBP,web,desktop,0,2.0,0
P003,C002,M008,2024-01-03 09:00:00,110.47,GBP,app,mobile,1,5.0,1
P004,C007,M001,2024-01-04 09:00:00,109.97,GBP,web,mobile,0,1.0,0
P005,C022,M007,2024-01-05 09:00:00,128.07,GBP,partner,mobile,0,2.0,1
P006,C018,M003,2024-01-06 09:00:00,,GBP,partner,mobile,1,4.0,1
P007,C003,M004,2024-01-07 09:00:00,132.27,GBP,app,,0,5.0,0
P008,C027,M003,2024-01-08 09:00:00,151.85,GBP,partner,mobile,1,4.0,1
P009,C036,M001,2024-01-09 09:00:00,70.49,GBP,partner,desktop,0,3.0,0
P010,C021,M001,2024-01-10 09:00:00,78.14,GBP,app,desktop,0,4.0,0
P011,C002,M009,2024-01-11 09:00:00,136.65,GBP,app,mobile,1,5.0,1
P012,C002,M009,2024-01-12 09:00:00,105.38,GBP,web,mobile,0,3.0,0
P013,C022,M007,2024-01-13 09:00:00,206.4,GBP,partner,mobile,1,4.0,1
P014,C013,M003,2024-01-14 09:00:00,107.82,GBP,app,mobile,0,7.0,0
P015,C018,M005,2024-01-15 09:00:00,128.2,GBP,web,mobile,0,6.0,1
P016,C015,M001,2024-01-16 09:00:00,134.16,GBP,partner,mobile,0,5.0,0
P017,C003,M009,2024-01-17 09:00:00,147.67,GBP,call_center,mobile,0,,0
P018,C035,M004,2024-01-18 09:00:00,135.13,GBP,app,desktop,0,8.0,0
P019,C008,M002,2024-01-19 09:00:00,119.53,GBP,call_center,mobile,0,4.0,0
P020,C031,M003,2024-01-20 09:00:00,144.58,GBP,partner,mobile,0,4.0,1
P021,C021,M001,2024-01-21 09:00:00,92.2,GBP,web,desktop,0,11.0,0
P022,C012,M001,2024-01-22 09:00:00,94.55,GBP,app,mobile,0,5.0,1
P023,C027,M005,2024-01-23 09:00:00,,GBP,app,mobile,1,5.0,1
P024,C017,M002,2024-01-24 09:00:00,138.19,GBP,call_center,mobile,0,2.0,1
